name,Borough
Bergen St & Smith St,Brooklyn
E 3 St & 1 Ave,Manhattan
LaGuardia Pl & W 3 St,Manhattan
E 20 St & 2 Ave,Manhattan
Broadway & W 29 St,Manhattan
W 18 St & 6 Ave,Manhattan
3 St & Prospect Park West,Brooklyn
Broad St & Bridge St,Manhattan
9 Ave & W 45 St,Manhattan
Barclay St & Church St,Manhattan
W 45 St & 8 Ave,Manhattan
W 41 St & 8 Ave,Manhattan
E 40 St & 5 Ave,Manhattan
6 Ave & Canal St,Manhattan
Forsyth St & Broome St,Manhattan
Cadman Plaza E & Tillary St,Brooklyn
Lexington Ave & E 29 St,Manhattan
Forsyth St & Canal St,Manhattan
Bedford Ave & Nassau Ave,Brooklyn
University Pl & E 14 St,Manhattan
Sullivan St & Washington Sq,Manhattan
E 12 St & 3 Ave,Manhattan
Stanton St & Chrystie St,Manhattan
W 47 St & 10 Ave,Manhattan
India St & Manhattan Ave,Brooklyn
South St & Gouverneur Ln,Manhattan
W 20 St & 11 Ave,Manhattan
Broadway & W 41 St,Manhattan
E 16 St & Irving Pl,Manhattan
Columbus Ave & W 95 St,Manhattan
W 11 St & 6 Ave,Manhattan
E 4 St & 2 Ave,Manhattan
8 Ave & W 31 St,Manhattan
Norfolk St & Broome St,Manhattan
W 59 St & 10 Ave,Manhattan
E 47 St & Park Ave,Manhattan
Henry St & Grand St,Manhattan
Christopher St & Greenwich St,Manhattan
W 74 St & Columbus Ave,Manhattan
2 Ave & E 31 St,Manhattan
Great Jones St,Manhattan
1 Ave & E 18 St,Manhattan
Broadway & W 58 St,Manhattan
E 23 St & 1 Ave,Manhattan
W 25 St & 6 Ave,Manhattan
W 56 St & 6 Ave,Manhattan
9 Ave & W 22 St,Manhattan
W 49 St & 8 Ave,Manhattan
Bank St & Washington St,Manhattan
E 85 St & 3 Ave,Manhattan
W 26 St & 10 Ave,Manhattan
Wythe Ave & Metropolitan Ave,Brooklyn
E 75 St & 3 Ave,Manhattan
W 13 St & 5 Ave,Manhattan
MacDougal St & Washington Sq,Manhattan
6 Ave & 12 St,Brooklyn
Metropolitan Ave & Bedford Ave,Brooklyn
E 32 St & Park Ave,Manhattan
12 Ave & W 40 St,Manhattan
Lafayette St & Jersey St,Manhattan
E 67 St & Park Ave,Manhattan
E 45 St & 3 Ave,Manhattan
W 16 St & The High Line,Manhattan
Montrose Ave & Bushwick Ave,Brooklyn
E 48 St & 5 Ave,Manhattan
6 Ave & W 33 St,Manhattan
Centre St & Chambers St,Manhattan
Tompkins Ave & Hopkins St,Brooklyn
Little West St & 1 Pl,Manhattan
Central Park S & 6 Ave,Manhattan
Canal St & Rutgers St,Manhattan
Clinton St & Grand St,Manhattan
Clinton St & Grand St,Manhattan
E 25 St & 2 Ave,Manhattan
Liberty St & Broadway,Manhattan
Division Ave & Marcy Ave,Brooklyn
Division St & Bowery,Manhattan
W 92 St & Broadway,Manhattan
Greenwich St & W Houston St,Manhattan
W 13 St & 7 Ave,Manhattan
Clermont Ave & Park Ave,Brooklyn
Lafayette St & E 8 St,Manhattan
University Pl & E 8 St,Manhattan
W 24 St & 7 Ave,Manhattan
28 St & 36 Ave,Queens
1 Ave & E 30 St,Manhattan
E 47 St & 1 Ave,Manhattan
Hudson St & Reade St,Manhattan
W 51 St & 6 Ave,Manhattan
Clinton Ave & Myrtle Ave,Brooklyn
Clinton St & Tillary St,Brooklyn
Degraw St & Smith St,Brooklyn
E 33 St & 5 Ave,Manhattan
Graham Ave & Grand St,Brooklyn
Court St & State St,Brooklyn
Broadway & E 14 St,Manhattan
Perry St & Bleecker St,Manhattan
St Marks Pl & 2 Ave,Manhattan
Broadway & W 53 St,Manhattan
Clark St & Henry St,Brooklyn
E 72 St & York Ave,Manhattan
E 84 St & Park Ave,Manhattan
E 55 St & 2 Ave,Manhattan
Stanton St & Mangin St,Manhattan
10 Ave & W 28 St,Manhattan
W 15 St & 10 Ave,Manhattan
E 16 St & 5 Ave,Manhattan
Mott St & Prince St,Manhattan
Cleveland Pl & Spring St,Manhattan
Columbia Heights & Cranberry St,Brooklyn
Riverside Dr & W 82 St,Manhattan
S 5 Pl & S 5 St,Brooklyn
Franklin Ave & Myrtle Ave,Brooklyn
6 Ave & Broome St,Manhattan
E 27 St & 1 Ave,Manhattan
Clinton St & Centre St,Brooklyn
Hanson Pl & Ashland Pl,Brooklyn
Concord St & Bridge St,Brooklyn
W 4 St & 7 Ave S,Manhattan
44 Dr & 21 St,Queens
Allen St & Stanton St,Manhattan
E 30 St & Park Ave S,Manhattan
Riverside Blvd & W 67 St,Manhattan
Amsterdam Ave & W 73 St,Manhattan
Carroll St & Washington Ave,Brooklyn
Adelphi St & Myrtle Ave,Brooklyn
Macon St & Nostrand Ave,Brooklyn
5 Ave & E 78 St,Manhattan
8 Ave & W 16 St,Manhattan
St Johns Pl & Washington Ave,Brooklyn
Broadway & W 37 St,Manhattan
Berry St & N 8 St,Brooklyn
Fulton St & Clermont Ave,Brooklyn
Lefferts Pl & Franklin Ave,Brooklyn
Columbus Ave & W 72 St,Manhattan
East End Ave & E 86 St,Manhattan
